text,disease
"I feel terrible with hoarseness, loss of voice and tickling sensation in throat.",Laryngitis
"Doctor, I've had fever and headache for the past few days.",Rabies Exposure
"Noticed severe frequent sneezing, itchy watery eyes, clear runny nose",Allergic Rhinitis
I cannot sleep because of burning pain in hands and tingling sensations.,Peripheral Neuropathy
Experiencing nausea,Peptic Ulcer
"Doctor, I've had persistent cough, mucus production, mild fever",Bronchitis
"My main issues right now are dry cracked skin patches, red to brownish-gray patches and raw sensitive skin from scratching.",Eczema
"Woke up today with persistent excessive worry, restlessness and difficulty concentrating.",Generalized Anxiety Disorder
"Doctor, I've had irregular heartbeat, dizziness and extreme fatigue for the past few days.",Electrolyte Imbalance
I have temporary dizziness,Transient Ischemic Attack (TIA)
Feeling swollen ankles,Glomerulonephritis
"Experiencing chills, fatigue, headache",Influenza
I have hand weakness,Carpal Tunnel Syndrome
"I feel terrible with restlessness, muscle tension and irritability.",Generalized Anxiety Disorder
"Noticed severe hard dry stools, straining during bowel movements, feeling of incomplete evacuation",Constipation
Experiencing headache,Malaria
"I have morning headache, shortness of breath, nosebleeds and chest tightness, what could this be?",Hypertension
"Woke up today with fever, swollen lymph nodes in neck and enlarged spleen.",Mononucleosis
"Patient presenting with swelling in ankles and feet, persistent fatigue, nausea",Chronic Kidney Disease
I have sweating,Hyperthyroidism
Experiencing acute morning headache and blurred vision.,Hypertension
"I have shortness of breath, fatigue, pain radiating to jaw or left arm and lightheadedness, what could this be?",Coronary Artery Disease
"My main issues right now are increased thirst, slow-healing cuts and tingling in hands and feet.",Diabetes Type 2
"Experiencing severe upper abdominal pain radiating to back, nausea, rapid pulse",Pancreatitis
"Been having skin warm to touch, rapidly expanding redness, blisters over red area",Cellulitis
"Doctor, I've had sudden facial drooping, sudden severe headache and loss of balance for the past few days.",Stroke
"Experiencing sore throat, nasal congestion, mild headache",Common Cold
Feeling loss of appetite,Chickenpox
Experiencing acute confusion and extreme fatigue.,Electrolyte Imbalance
Experiencing shortness of breath,Angina Pectoris
"Suffering from dull ache when moving affected tendon, mild swelling, joint stiffness near shoulder elbow or heel",Tendinitis
Lately I have been feeling red swollen tonsils and painful swallowing.,Tonsillitis
"I have unexplained weight gain, constipation, muscle weakness",Hypothyroidism
"Been having acid regurgitation, chest burning, difficulty swallowing",GERD
"Noticed severe persistent diarrhea, weight loss, fatigue",Crohn's Disease
Feeling frequent sneezing,Allergic Rhinitis
"Experiencing acute extreme fatigue, fever, enlarged spleen and headache.",Mononucleosis
"Over the last 48 hours, I noticed upper abdominal pain and loss of appetite.",Gastritis
"I feel terrible with rapid dehydration, muscle cramps, sunken eyes and low blood pressure.",Cholera
"Clinical notes: Patient presenting with persistent excessive worry, difficulty concentrating and irritability.",Generalized Anxiety Disorder
"Doctor, I've had shortness of breath, fever, rapid shallow breathing",Pleural Effusion
"I have joint pain during or after movement, joint stiffness in mornings, loss of joint flexibility and bone spurs, what could this be?",Osteoarthritis
"I feel terrible with chronic fatigue, jaundice and loss of appetite.",Hepatitis C
Experiencing pain behind the eyes,Dengue Fever
"Noticed severe stooped posture, back pain caused by collapsed vertebra, bone fractures easily",Osteoporosis
"I have cold intolerance, dry skin, muscle weakness",Hypothyroidism
I have excessive daytime sleepiness,Sleep Apnea
"I've been dealing with high fever, shivering chills, nausea and vomiting and it is getting worse.",Pyelonephritis
"I have nausea and fatigue, what could this be?",Malaria
Experiencing sudden spinning sensation when turning head,Benign Paroxysmal Positional Vertigo
Feeling fainting episodes,Arrhythmia
"Over the last 48 hours, I noticed severe headache, joint and muscle ache and mild bleeding.",Dengue Fever
"Suffering from sudden shortness of breath, rapid heart rate, coughing blood and dizziness, need medical guidance.",Pulmonary Embolism
"Suffering from shortness of breath when lying flat, rapid weight gain from fluid and wheezing, need medical guidance.",Heart Failure
"Suffering from fatigue, abdominal pain, yellowing of skin and eyes",Hepatitis A
"Clinical notes: Patient presenting with joint pain during or after movement, loss of joint flexibility, grating sensation and bone spurs.",Osteoarthritis
"Noticed severe coughing blood, unexplained weight loss, chest pain",Tuberculosis
"Suffering from persistent fatigue, foamy urine, loss of appetite and metallic taste in mouth, need medical guidance.",Chronic Kidney Disease
"Feeling bloating, dark stools, unexplained weight loss",Peptic Ulcer
Experiencing skin rash,Dengue Fever
"Been having weight loss, mouth sores, rectal bleeding",Crohn's Disease
"Patient reports heartburn, acid regurgitation and difficulty swallowing with increasing discomfort.",GERD
"Noticed severe pink or red discoloration of eye, gritty feeling in eye, watery discharge",Conjunctivitis
"Patient reports runny nose, sore throat and nasal congestion with increasing discomfort.",Common Cold
Feeling rapid heart rate upon standing,Postural Orthostatic Tachycardia (POTS)
I feel terrible with persistent cough and mild fever.,Bronchitis
"Woke up today with persistent cough, mucus production, chest discomfort and wheezing.",Bronchitis
"I'm experiencing visual flashes, blind spots, tingling in face or hands and light sensitivity.",Migraine with Aura
"My main issues right now are high fever, red watery eyes and tiny white spots inside mouth.",Measles
"My main issues right now are vomiting, muscle cramps, sunken eyes and low blood pressure.",Cholera
"Suffering from chronic pelvic pain and persistent urgent need to urinate, need medical guidance.",Interstitial Cystitis
"It started yesterday with chronic cough, shortness of breath with exertion, excess sputum and wheezing.",COPD
I have abdominal tenderness,Diverticulitis
Experiencing dizziness,Hypertension
"My main issues right now are increased thirst, frequent nighttime urination, slow-healing cuts and darkened skin patches.",Diabetes Type 2
Lately I have been feeling nausea and tenderness to touch.,Pancreatitis
Experiencing burning localized pain,Shingles
"Experiencing swelling in ankles and feet, nausea, metallic taste in mouth",Chronic Kidney Disease
"Patient presenting with rapid heart rate, unintended weight loss, bulging eyes",Hyperthyroidism
Clinical notes: Patient presenting with persistent diarrhea and mouth sores.,Crohn's Disease
Feeling nausea,Migraine
"I feel terrible with cough, red watery eyes and tiny white spots inside mouth.",Measles
"Suffering from persistent excessive worry, muscle tension and difficulty concentrating, need medical guidance.",Generalized Anxiety Disorder
"Suffering from sudden intense terror, chest tightness, sweating and fear of losing control, need medical guidance.",Panic Disorder
Experiencing shortness of breath,Pneumonia
"I've been dealing with headache, constipation or diarrhea, rose-colored rash and extreme fatigue and it is getting worse.",Typhoid Fever
Experiencing burning sensation on skin,Urticaria
"Suffering from alternating diarrhea and constipation, mucus in stool, food intolerance",Irritable Bowel Syndrome
"My main issues right now are pain relieved by sitting up and leaning forward, fever and heart palpitations.",Pericarditis
Feeling faded colors,Cataract
"I have poor appetite, yellowing of skin and eyes, nausea",Hepatitis B
Experiencing dark urine,Hepatitis A
I have restlessness,Cluster Headache
"Experiencing acute tingling around bite site, anxiety and agitation.",Rabies Exposure
"Experiencing acute persistent fatigue, foamy urine and nausea.",Chronic Kidney Disease
"I have difficulty falling asleep, waking up during the night, daytime fatigue and difficulty concentrating, what could this be?",Insomnia Disorder
"Suffering from raised red itchy welts and burning sensation on skin, need medical guidance.",Urticaria
"Been having raised red itchy welts, swelling that changes shape and location, intense itching",Urticaria
"Over the last 48 hours, I noticed joint stiffness in mornings, loss of joint flexibility and grating sensation.",Osteoarthritis
"I have animal bite on skin, tingling around bite site and headache, what could this be?",Rabies Exposure
